term,tfidf
hrefhttpwwwopenwebioarticleread,59.983894563021614
hrefhttpwwwarchiveeduarticleread,59.76876691593267
hrefhttpwwwexamplecoarticleread,59.53678020427203
hrefhttpwwwnewsportalnetarticleread,59.38071800340026
hrefhttpwwwexamplecomarticleread,59.373441192288794
hrefhttpwwwmediacenterdearticleread,59.20880869767134
hrefhttpwwwdemonetarticleread,58.95736287983347
hrefhttpwwwsampleorgarticleread,58.95240675190366
hrefhttpwwwexampleioarticleread,58.90073387333393
hrefhttpwwwsampledearticleread,58.884067583707214
hrefhttpwwwtechhubeduarticleread,58.825334347645565
hrefhttpwwwdemoukarticleread,58.75845328224349
hrefhttpwwwblogsitenetarticleread,58.74747921191845
hrefhttpwwwblogsiteioarticleread,58.675121753682774
hrefhttpwwwblogsiteukarticleread,58.52037869393659
hrefhttpwwwnewsportalinfoarticleread,58.27601803834221
hrefhttpwwwopenwebukarticleread,58.23118157323303
hrefhttpwwwarchivenetarticleread,58.02639253181629
hrefhttpwwwopenwebcoarticleread,57.849703475527114
hrefhttpwwwblogsiteinfoarticleread,57.80003273734229
hrefhttpwwwsamplecomarticleread,57.648039858368776
hrefhttpwwwarchivedearticleread,57.56077724522218
hrefhttpwwwmediacenterukarticleread,57.52991728003695
hrefhttpwwwdatasourcecomarticleread,57.5204653972681
hrefhttpwwwblogsiteorgarticleread,57.51078040965433
hrefhttpwwwnewsportalgovarticleread,57.510148718093966
hrefhttpwwwsampleeduarticleread,57.38527567260196
hrefhttpwwwblogsitecoarticleread,57.19486759001717
hrefhttpwwwdatasourcecoarticleread,57.113702493689836
hrefhttpwwwsamplecoarticleread,56.948270371018204
hrefhttpwwwsamplenetarticleread,56.904332848760795
hrefhttpwwwtechhubukarticleread,56.871882102420194
hrefhttpwwwblogsitedearticleread,56.784295871433535
hrefhttpwwwtechhuborgarticleread,56.61805080782239
hrefhttpwwwdemoinfoarticleread,56.60090456243811
hrefhttpwwwnewsportaleduarticleread,56.590754596607
hrefhttpwwwnewsportalcomarticleread,56.311326702631256
hrefhttpwwwmediacenterioarticleread,56.20570297749337
hrefhttpwwwtechhubinfoarticleread,55.992594142209164
hrefhttpwwwopenwebgovarticleread,55.91670423882962
hrefhttpwwwnewsportalioarticleread,55.899564627979316
hrefhttpwwwtechhubcoarticleread,55.79633033174217
hrefhttpwwwopenwebinfoarticleread,55.66778100557541
hrefhttpwwwdatasourceinfoarticleread,55.666237493416396
hrefhttpwwwmediacentercomarticleread,55.421963435351095
hrefhttpwwwarchivecoarticleread,55.334189985277796
hrefhttpwwwarchiveinfoarticleread,55.21744800498802
hrefhttpwwwmediacentereduarticleread,55.14572032182722
hrefhttpwwwexamplegovarticleread,55.07413085774453
hrefhttpwwwdatasourceorgarticleread,54.996662106799974
hrefhttpwwwnewsportalukarticleread,54.91110996272732
hrefhttpwwwsampleukarticleread,54.901300568696584
hrefhttpwwwdemoorgarticleread,54.69286652705159
hrefhttpwwwarchiveorgarticleread,54.65775071402187
hrefhttpwwwdatasourcedearticleread,54.656184012225175
hrefhttpwwwtechhubgovarticleread,54.52337450414104
hrefhttpwwwexamplenetarticleread,54.26021831883327
hrefhttpwwwdatasourceioarticleread,54.08383450879715
hrefhttpwwwexampleeduarticleread,54.04630064537957
hrefhttpwwwexampledearticleread,54.01206966979756
hrefhttpwwwdemodearticleread,53.83591714966619
hrefhttpwwwblogsitecomarticleread,53.38699688232668
hrefhttpwwwtechhubcomarticleread,53.27252387347339
hrefhttpwwwsamplegovarticleread,53.21216070856322
hrefhttpwwwopenwebnetarticleread,53.21091383045377
hrefhttpwwwarchivecomarticleread,53.03915311931921
hrefhttpwwwdemocoarticleread,52.88559954133855
hrefhttpwwwblogsitegovarticleread,52.58764620907477
hrefhttpwwwarchivegovarticleread,52.578446462188516
hrefhttpwwwdemogovarticleread,52.4299050912769
hrefhttpwwwsampleioarticleread,52.385675193601145
hrefhttpwwwdatasourcegovarticleread,52.286813202796836
hrefhttpwwwtechhubioarticleread,50.143591323606536
hrefhttpwwwexampleinfoarticleread,48.54494931821646
hrefhttpwwwmediacenterinfoarticleread,47.91822597177609
